API_Operation,Time(ms),Status
User_Registration,1354,93,SUCCESS
User_Authentication,239,55,SUCCESS
Get_Current_User,606,16,SUCCESS
Update_Factory_Type,316,66,SUCCESS
Create_Function_1,306,59,SUCCESS
Create_Function_2,267,05,SUCCESS
Create_Function_3,259,34,SUCCESS
Get_All_Functions,254,99,SUCCESS
Get_Analytic_Functions,283,16,SUCCESS
Get_Function_Info,317,62,SUCCESS
Update_Function,273,60,SUCCESS
Add_Function_Points,431,48,SUCCESS
Add_Points_Function2,388,18,SUCCESS
Get_Function_Points,273,33,SUCCESS
Update_Point,315,25,SUCCESS
Delete_Point,358,07,SUCCESS
Add_Points_Again,319,01,SUCCESS
Delete_All_Points,370,44,SUCCESS
Create_Composite_Function,346,74,SUCCESS
Function_Sampling,474,15,BAD_REQUEST
Perform_Operation_Derive,475,15,SUCCESS
Delete_Function,283,30,SUCCESS
