SQL_Operation,Time(ms)
user_insert,90,88
user_findByUsername,167,32
user_updateRole,215,16
user_findByUsername_with_password,90,92
user_updateUsername,219,44
user_updatePasswordHash,201,04
user_updateFactoryType,200,82
user_delete,251,18
function_insert,93,95
function_findByUserId,96,72
function_findByType,281,40
function_updateName,143,35
function_delete_by_userId,295,45
points_insert,110,91
points_findByFunction,104,68
points_updateYValue,ERROR
points_delete_by_functionId,235,97
operations_insert,ERROR
operations_findByPoint1,94,24
operations_complex_find,308,79
operations_delete_complex,198,19
operations_delete,578,96
composite_insert,125,70
composite_findByComposite,142,57
composite_delete,279,72
